序号|SERIAL,代码|SECURITY_CODE,名称|SECURITY_SHORT_NAME,市场简称|MARKET_SHORT_NAME,最新价|NEWEST_PRICE|2026.05.15|元,涨跌幅|CHG|2026.05.15|%,市场码|MARKET_NUM,上市板块|TRADEMARKET,是否ST|IFSTSTOCK{2026-05-15}|2026.05.15,证券类型|SECURITYTYPE,总市值(日线不复权)|TOAL_MARKET_VALUE<140>|2026.05.15|元,收盘价(日线不复权)|NEWEST_PRICE<140>|2026.05.15|元,市盈率(TTM)(倍)|PETTM{2026-05-15}|2026.05.15|倍,市净率(倍)|PB|2026.05.15|倍,市盈率百分位|PE_TTM_PERCENTILE{2026-05-15}|2026.05.15|%,市盈率百分位|PE_TTM_PERCENTILE{2026-05-14}|2026.05.14|%,市盈率百分位|PE_TTM_PERCENTILE{2026-05-13}|2026.05.13|%,市盈率百分位|PE_TTM_PERCENTILE{2026-05-12}|2026.05.12|%,市盈率百分位|PE_TTM_PERCENTILE{2026-05-11}|2026.05.11|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-15}|2026.05.15|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-14}|2026.05.14|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-13}|2026.05.13|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-12}|2026.05.12|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-11}|2026.05.11|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-15}|2026.05.15|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-14}|2026.05.14|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-13}|2026.05.13|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-12}|2026.05.12|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-11}|2026.05.11|%,销售毛利率|XSMLL{2025-12-31}|2025.12.31|%,销售毛利率|XSMLL{2024-12-31}|2024.12.31|%,销售毛利率|XSMLL{2023-12-31}|2023.12.31|%,加权净资产收益率ROE|ROE_WEIGHT{2025-12-31}|2025.12.31|%,加权净资产收益率ROE|ROE_WEIGHT{2024-12-31}|2024.12.31|%,加权净资产收益率ROE|ROE_WEIGHT{2023-12-31}|2023.12.31|%,营业收入同比增长率(%)|营业收入[2023-12-31至2025-12-31]同比增长率(%)|2023.12.31-2025.12.31|%,营业收入|OPERATEREVE{2025-12-31}|2025.12.31|元,营业收入|OPERATEREVE{2024-12-31}|2024.12.31|元,营业收入|OPERATEREVE{2023-12-31}|2023.12.31|元,营业收入|OPERATEREVE{2022-12-31}|2022.12.31|元,归属母公司股东的净利润同比增长率(%)|归属母公司股东的净利润[2023-12-31至2025-12-31]同比增长率(%)|2023.12.31-2025.12.31|%,归属净利润|PARENT_NETPROFIT{2025-12-31}|2025.12.31|元,归属净利润|PARENT_NETPROFIT{2024-12-31}|2024.12.31|元,归属净利润|PARENT_NETPROFIT{2023-12-31}|2023.12.31|元,归属净利润|PARENT_NETPROFIT{2022-12-31}|2022.12.31|元,经营活动产生的现金流量净额|NETOPERATECASHFLOW{2025-12-31}|2025.12.31|元,经营活动产生的现金流量净额|NETOPERATECASHFLOW{2024-12-31}|2024.12.31|元,经营活动产生的现金流量净额|NETOPERATECASHFLOW{2023-12-31}|2023.12.31|元,资产负债率|DEBT_ASSET_RATIO{2026-05-16}|截至2026.05.16最新|%,有息负债率|INTERESTDEBTRATIO{2026-05-16}|截至2026.05.16最新|%,东财行业分类二级|INDUSTRY,东财行业总分类|INDUSTRY_ALL,申万行业分类|SW_INDUSTRY,概念|STYLE_CONCEPT,主营业务|MAIN_BUSINESS,收盘价(季线不复权)|NEWEST_PRICE<170>|2026.05.15|元,涨跌幅(季线)|CHG<100>|2026.05.15|%,涨跌幅(季线)|CHG<100>{2026-03-31}|2026.03.31|%,涨跌幅(季线)|CHG<100>{2025-12-31}|2025.12.31|%,涨跌幅(季线)|CHG<100>{2025-09-30}|2025.09.30|%,成交额(季线)|TRADING_VOLUMES<100>|2026.05.15|元,成交额(季线)|TRADING_VOLUMES<100>{2026-03-31}|2026.03.31|元,成交额(季线)|TRADING_VOLUMES<100>{2025-12-31}|2025.12.31|元,成交额(季线)|TRADING_VOLUMES<100>{2025-09-30}|2025.09.30|元,换手率(季线)|TURNOVER_RATE<100>|2026.05.15|%,换手率(季线)|TURNOVER_RATE<100>{2026-03-31}|2026.03.31|%,换手率(季线)|TURNOVER_RATE<100>{2025-12-31}|2025.12.31|%,换手率(季线)|TURNOVER_RATE<100>{2025-09-30}|2025.09.30|%,成交量(股)(季线)|VOLUME<100>{2025-12-31}|2025.12.31|股,成交量(股)(季线)|VOLUME<100>{2025-09-30}|2025.09.30|股,成交量(股)(季线)|VOLUME<100>{2025-06-30}|2025.06.30|股,成交量(股)(季线)|VOLUME<100>{2025-03-31}|2025.03.31|股,涨跌额|PCHG|2026.05.15|元,最高价(日线不复权)|PEAK_PRICE<140>|2026.05.15|元,最低价(日线不复权)|BOTTOM_PRICE<140>|2026.05.15|元,换手率|TURNOVER_RATE|2026.05.15|%,量比|QRR|2026.05.15,成交量(股)|VOLUME|2026.05.15|股,成交额|TRADING_VOLUMES|2026.05.15|元,市盈率(动)(倍)|PE_DYNAMIC|2026.05.15|倍,流通市值(日线不复权)|CIRCULATION_MARKET_VALUE<140>|2026.05.15|元,IN_OPTIONAL,VOLUME<100>{2025-05-16|2026-05-15|4|报告期}
1,301696,三瑞智能,SZ,139.48,20.00,0,深交所创业板,否,A股,557.93亿,139.48,118.98,25.55,95.65,54.55,66.67,75.00,68.42,95.65,68.18,85.71,90.00,89.47,0.36,-,-,-,-,60.00|2025年报,59.79|2024年报,55.99|2023年报,44.03|2025年报,55.32|2024年报,48.48|2023年报,29.25,10.75亿|2025年报,8.31亿|2024年报,5.34亿|2023年报,3.62亿|2022年报,26.73,4.21亿|2025年报,3.33亿|2024年报,1.72亿|2023年报,1.13亿|2022年报,4.20亿|2025年报,3.20亿|2024年报,1.99亿|2023年报,15.67|2026一季报,8.26|2026一季报,航空装备Ⅱ,国防军工-航空装备Ⅱ-航空装备Ⅲ,电力设备-电机Ⅱ-电机Ⅲ,【专精特新】【人形机器人】【创业板综】【历史新高 】【无人机】【昨日涨停】【昨日涨停_含一字】【昨日首板】【机器人概念】【次新股】【百元股】【百日新高 】【融资融券】【飞行汽车(eVTOL)】,"无人机电动动力系统及机器人动力系统的研发、生产和销售,并积极布局电动垂直起降飞行器(eVTOL)动力系统产品",139.48,465.15,-,-,-,280.72亿,-,-,-,857.57,-,-,-,-,-,-,-,23.25,139.48,114.40,37.51,0.97,1128.35万,14.48亿,107.06,41.96亿,false,-
2,001389,广合科技,SZ,180.68,-2.86,0,深交所主板,否,A股,853.70亿,180.68,73.09,11.84,97.65,98.24,99.41,99.21,99.21,95.69,96.08,97.84,97.05,97.04,0.24,0.23,0.22,0.23,0.23,34.43|2025年报,33.38|2024年报,33.30|2023年报,29.24|2025年报,25.87|2024年报,25.60|2023年报,46.89,54.85亿|2025年报,37.34亿|2024年报,26.78亿|2023年报,24.12亿|2022年报,50.24,10.16亿|2025年报,6.76亿|2024年报,4.15亿|2023年报,2.80亿|2022年报,10.32亿|2025年报,7.96亿|2024年报,5.28亿|2023年报,37.19|2026一季报,17.63|2026一季报,元件,电子-元件-印制电路板,电子-元件-印制电路板,【2025年报预增】【2026一季报预增】【5G概念】【AH股】【PCB】【中盘成长】【中盘股】【中证500】【人工智能】【华为概念】【存储芯片】【昨日高振幅】【深成500】【深股通】【百元股】【融资融券】【通信技术】,多高层印制电路板的研发、生产与销售,180.68,55.32,42.51,2.69,35.26,483.94亿,587.76亿,251.18亿,592.53亿,205.42,370.52,221.03,572.36,3.35亿,8.60亿,3.11亿,2.85亿,-5.32,188.80,176.90,4.89,0.78,743.49万,13.49亿,54.37,274.61亿,false,
3,300394,天孚通信,SZ,399.99,2.04,0,深交所创业板,否,A股,3116.57亿,399.99,143.50,51.84,99.67,99.45,99.16,98.35,98.27,99.96,99.89,99.78,98.94,98.64,0.21,0.22,0.23,0.25,0.26,53.96|2025年报,57.22|2024年报,54.30|2023年报,41.91|2025年报,36.74|2024年报,25.08|2023年报,58.79,51.63亿|2025年报,32.52亿|2024年报,19.39亿|2023年报,11.96亿|2022年报,50.15,20.17亿|2025年报,13.44亿|2024年报,7.30亿|2023年报,4.03亿|2022年报,18.68亿|2025年报,12.63亿|2024年报,9.02亿|2023年报,14.25|2026一季报,0.40|2026一季报,通信设备,通信-通信设备-通信网络设备及器件,通信-通信设备-通信网络设备及器件,【2025年报预增】【5G概念】【CPO概念】【HS300_】【MSCI中国】【QFII重仓】【专精特新】【东方财富热股】【光纤概念】【创业成份】【创业板综】【华为概念】【基金重仓】【大盘成长】【大盘股】【富时罗素】【深成500】【深股通】【深证100R】【百元股】【算力概念】【融资融券】【通信技术】,从事高速光器件的研发、规模量产和销售业务,399.99,32.62,48.55,21.00,111.49,4602.39亿,5967.40亿,4406.73亿,3692.02亿,170.73,284.99,310.53,355.81,24.09亿,27.61亿,14.81亿,14.29亿,7.99,414.08,381.91,8.69,1.24,6760.96万,269.27亿,158.29,3110.31亿,false,
4,000426,兴业银锡,SZ,44.14,-8.37,0,深交所主板,否,A股,783.77亿,44.14,29.38,7.24,32.18,36.75,39.01,40.12,38.18,96.06,97.63,97.89,98.01,97.86,0.16,0.15,0.14,0.14,0.14,57.59|2025年报,62.95|2024年报,52.88|2023年报,19.60|2025年报,21.28|2024年报,16.12|2023年报,30.09,55.55亿|2025年报,42.70亿|2024年报,37.06亿|2023年报,20.86亿|2022年报,11.40,17.04亿|2025年报,15.30亿|2024年报,9.69亿|2023年报,1.74亿|2022年报,24.88亿|2025年报,18.15亿|2024年报,17.50亿|2023年报,41.40|2026一季报,63.37|2026一季报,贵金属,有色金属-贵金属-白银,有色金属-工业金属-铅锌,【MSCI中国】【QFII重仓】【中盘成长】【中盘股】【中证500】【富时罗素】【小金属概念】【标准普尔】【深成500】【深股通】【融资融券】【西部大开发】,有色金属及贵金属采选与冶炼,44.14,9.75,12.98,8.24,109.09,899.09亿,2341.05亿,1384.86亿,760.99亿,112.33,264.55,233.48,200.47,41.45亿,35.59亿,28.86亿,22.29亿,-4.03,45.70,43.41,6.70,1.19,1.19亿,52.94亿,14.65,783.58亿,false,
5,002463,沪电股份,SZ,102.99,-3.77,0,深交所主板,否,A股,1981.90亿,102.99,46.07,12.52,88.06,89.42,90.28,89.75,89.75,99.69,99.84,99.97,99.95,99.95,0.49,0.93,0.89,0.92,0.92,35.48|2025年报,34.54|2024年报,31.01|2023年报,28.57|2025年报,24.25|2024年报,16.84|2023年报,42.00,189.45亿|2025年报,133.42亿|2024年报,89.38亿|2023年报,83.36亿|2022年报,47.74,38.22亿|2025年报,25.87亿|2024年报,15.13亿|2023年报,13.62亿|2022年报,38.72亿|2025年报,23.25亿|2024年报,22.43亿|2023年报,48.64|2026一季报,39.92|2026一季报,元件,电子-元件-印制电路板,电子-元件-印制电路板,【2026一季报预增】【5G概念】【HS300_】【MSCI中国】【PCB】【华为概念】【周期股】【国产芯片】【基金重仓】【大盘成长】【大盘股】【富时罗素】【新能源车】【无人驾驶】【标准普尔】【深成500】【深股通】【深证100R】【百元股】【融资融券】【通信技术】,印制电路板的生产、销售及相关售后服务,102.99,36.46,4.00,-0.55,73.41,2089.08亿,3397.01亿,2454.73亿,2736.99亿,111.89,229.95,181.22,244.50,34.85亿,47.01亿,39.93亿,34.50亿,-4.03,108.00,101.80,3.26,0.94,6275.84万,65.36亿,39.89,1980.30亿,false,
6,601126,四方股份,SH,76.51,3.28,1,上交所主板,否,A股,637.41亿,76.51,74.28,12.33,98.77,98.71,99.41,98.77,98.63,99.95,99.92,99.97,99.97,99.97,0.94,0.97,0.88,0.97,1.05,30.22|2025年报,32.33|2024年报,34.44|2023年报,17.75|2025年报,16.62|2024年报,15.47|2023年报,17.87,81.93亿|2025年报,69.51亿|2024年报,57.51亿|2023年报,50.78亿|2022年报,15.84,8.29亿|2025年报,7.16亿|2024年报,6.27亿|2023年报,5.43亿|2022年报,12.25亿|2025年报,12.54亿|2024年报,12.33亿|2023年报,59.82|2026一季报,0.00|2026一季报,电网设备,电力设备-电网设备-电网自动化设备,电力设备-电网设备-电网自动化设备,【上证380】【中盘成长】【中盘股】【人工智能】【储能概念】【军民融合】【昨日高振幅】【智能电网】【最近多板】【核能核电】【沪股通】【海工装备】【特高压】【电网概念】【红利股】【融资融券】【边缘计算】【铁路基建】,"专注于智慧发电及新能源、智能电网、新型配电网、智慧用电等领域,提供继电保护、自动化与控制系统、电力电子、一二次融合、智慧物联等产品及解决方案",76.51,77.60,43.22,48.98,24.09,501.11亿,696.21亿,799.18亿,186.38亿,111.69,205.10,346.06,129.17,28.55亿,10.59亿,6.47亿,9.36亿,2.43,79.55,73.10,4.37,1.00,3607.06万,27.36亿,58.87,631.27亿,false,
7,300442,润泽科技,SZ,102.46,2.80,0,深交所创业板,否,A股,1674.55亿,102.46,32.19,11.72,51.86,51.28,51.75,47.30,50.67,94.83,94.19,94.67,89.86,93.40,0.51,0.53,0.52,0.58,0.54,46.04|2025年报,48.93|2024年报,48.57|2023年报,41.80|2025年报,19.50|2024年报,22.54|2023年报,29.99,56.74亿|2025年报,43.65亿|2024年报,43.51亿|2023年报,27.15亿|2022年报,182.07,50.50亿|2025年报,17.90亿|2024年报,17.62亿|2023年报,11.98亿|2022年报,32.92亿|2025年报,20.94亿|2024年报,12.44亿|2023年报,64.97|2026一季报,59.59|2026一季报,通信服务,通信-通信服务-通信应用增值服务,通信-通信服务-通信应用增值服务,【2025年报预增】【HS300_】【Kimi概念】【MSCI中国】【东数西算】【互联网服务】【创业成份】【创业板综】【大盘成长】【大盘股】【数据中心】【机器人概念】【海南自贸】【液冷概念】【深成500】【深股通】【深证100R】【百元股】【算力概念】【融资融券】,"IDC业务和AIDC业务。IDC业务:公司与基础电信运营商合作,主要采用批发模式,共同为互联网、云厂商等头部终端客户提供托管服务和管理服务。AIDC业务:公司作为智算中心的链主方,联合生态伙伴汇聚资源、技术、模型、算法和数据,构建从智算中心基础设施、到算力资源池、到智算网络平台搭建的全栈式产业生态,共同为AI训练、推理、应用等头部终端客户提供智算服务",102.46,26.81,53.03,-1.03,8.88,1663.95亿,3149.21亿,707.56亿,1111.58亿,109.16,229.80,87.04,128.54,14.19亿,20.93亿,14.19亿,25.64亿,2.79,110.98,100.62,7.73,1.50,1.26亿,133.60亿,71.90,1669.92亿,false,
8,300033,同花顺,SZ,231.45,-2.34,0,深交所创业板,否,A股,1741.99亿,231.45,52.15,41.01,48.31,49.66,52.37,52.55,53.12,93.89,94.52,96.35,96.43,96.70,1.60,1.57,1.48,1.47,1.46,91.54|2025年报,89.41|2024年报,89.09|2023年报,38.54|2025年报,24.80|2024年报,20.19|2023年报,44.00,60.29亿|2025年报,41.87亿|2024年报,35.64亿|2023年报,35.59亿|2022年报,75.79,32.05亿|2025年报,18.23亿|2024年报,14.02亿|2023年报,16.91亿|2022年报,37.74亿|2025年报,23.16亿|2024年报,15.92亿|2023年报,60.80|2026一季报,0.00|2026一季报,软件开发,计算机-软件开发-垂直应用软件,计算机-软件开发-垂直应用软件,【2025年报预增】【AIGC概念】【AI应用】【ChatGPT概念】【HS300_】【MSCI中国】【云计算】【互联网金融】【人工智能】【创业成份】【创业板综】【券商概念】【区块链】【国产软件】【大数据】【大盘成长】【大盘股】【富时罗素】【数据要素】【机构重仓】【深成500】【深股通】【深证100R】【百元股】【虚拟机器人】【融资融券】【行业龙头】【证金持股】【长江三角】【鸿蒙概念】,"国内领先的互联网金融信息服务提供商,围绕资本市场生态打造“AI+金融信息服务”一体化平台,服务对象覆盖证券公司、基金公司、银行、保险机构、政府部门、研究机构、上市公司等机构客户及广大个人投资者。依托长期积累的金融数据资源、技术能力与用户基础,公司持续推进人工智能技术与主营业务深度融合,加快向AI驱动型金融科技平台转型升级",231.45,10.44,-7.47,-13.52,36.92,1059.33亿,1996.53亿,1432.35亿,3031.04亿,97.79,182.52,151.54,322.39,4.18亿,8.88亿,4.79亿,8.00亿,-5.55,241.62,230.10,3.83,0.90,1677.55万,39.35亿,170.16,1014.70亿,false,
9,600988,赤峰黄金,SH,37.64,-5.14,1,上交所主板,否,A股,715.31亿,37.64,19.94,5.01,35.72,36.79,37.49,37.62,38.71,66.85,68.95,70.09,70.30,72.54,0.43,0.40,0.39,0.39,0.38,52.46|2025年报,43.84|2024年报,32.58|2023年报,27.14|2025年报,25.13|2024年报,14.61|2023年报,40.03,126.39亿|2025年报,90.26亿|2024年报,72.21亿|2023年报,62.67亿|2022年报,74.70,30.82亿|2025年报,17.64亿|2024年报,8.04亿|2023年报,4.51亿|2022年报,55.56亿|2025年报,32.68亿|2024年报,22.03亿|2023年报,29.36|2026一季报,10.75|2026一季报,贵金属,有色金属-贵金属-黄金,有色金属-贵金属-黄金,【2025年报预增】【AH股】【MSCI中国】【上证380】【中证500】【基金重仓】【大盘成长】【大盘股】【富时罗素】【沪股通】【稀土永磁】【稀缺资源】【融资融券】【西部大开发】【贬值受益】【黄金概念】,黄金的开采、选矿及销售,37.64,-12.77,38.12,5.61,18.89,649.79亿,1779.14亿,903.67亿,1132.68亿,91.93,277.33,176.04,259.85,29.29亿,43.24亿,45.57亿,29.26亿,-2.04,38.86,37.25,3.87,1.10,6444.65万,24.44亿,18.10,626.30亿,false,
10,300308,中际旭创,SZ,1049.87,-2.61,0,深交所创业板,否,A股,1.17万亿,1049.87,78.21,33.83,71.03,72.07,71.04,69.51,66.05,99.45,99.59,99.47,98.89,98.22,0.18,0.18,0.18,0.19,0.20,42.04|2025年报,33.80|2024年报,32.99|2023年报,43.84|2025年报,31.23|2024年报,16.58|2023年报,60.25,382.40亿|2025年报,238.62亿|2024年报,107.18亿|2023年报,96.42亿|2022年报,108.78,107.97亿|2025年报,51.71亿|2024年报,21.74亿|2023年报,12.24亿|2022年报,108.96亿|2025年报,31.65亿|2024年报,18.97亿|2023年报,32.64|2026一季报,9.30|2026一季报,通信设备,通信-通信设备-通信网络设备及器件,通信-通信设备-通信网络设备及器件,【2025年报预增】【5G概念】【CPO概念】【F5G概念】【HS300_】【MSCI中国】【东方财富热股】【光通信模块】【创业成份】【创业板综】【基金重仓】【大盘成长】【大盘股】【富时罗素】【无人驾驶】【权重股】【深成500】【深股通】【深证100R】【百元股】【算力概念】【节能环保】【融资融券】【行业龙头】【贬值受益】【通信技术】,"高端光通信收发模块的研发、生产及销售,产品服务于云计算数据中心、数据通信、5G无线网络、电信传输和固网接入等领域的国内外客户",1049.87,84.70,-6.67,51.39,178.47,6899.32亿,1.07万亿,1.08万亿,9148.88亿,75.32,166.47,195.63,294.00,21.63亿,32.50亿,26.58亿,23.19亿,-28.13,1099.87,1034.00,2.49,0.97,2762.53万,292.75亿,50.97,1.16万亿,false,
